ID del juego,Fecha de Lanzamiento
850170,"{'coming_soon': False, 'date': '15 Aug, 2023'}"
866510,"{'coming_soon': False, 'date': '6 Jun, 2018'}"
820030,"{'coming_soon': False, 'date': '19 Jun, 2018'}"
967250,"{'coming_soon': False, 'date': '5 Nov, 2018'}"
703880,"{'coming_soon': False, 'date': '6 Nov, 2018'}"
994910,"{'coming_soon': False, 'date': '23 Sep, 2020'}"
1013320,"{'coming_soon': False, 'date': 'Sep 26, 2019'}"
500710,"{'coming_soon': False, 'date': '18 Dec, 2017'}"
1098340,"{'coming_soon': False, 'date': '24 Jun, 2019'}"
1015500,"{'coming_soon': False, 'date': '21 Oct, 2019'}"
1245610,"{'coming_soon': False, 'date': '4 Apr, 2020'}"
287630,"{'coming_soon': False, 'date': '13 Mar, 2018'}"
1333350,"{'coming_soon': False, 'date': '14 Aug, 2020'}"
1463920,"{'coming_soon': False, 'date': '15 Jan, 2021'}"
1535560,"{'coming_soon': False, 'date': '25 Aug, 2022'}"
1540960,"{'coming_soon': False, 'date': '2 Feb, 2023'}"
1269260,"{'coming_soon': False, 'date': ''}"
1641650,"{'coming_soon': False, 'date': '23 Jun, 2021'}"
1022310,"{'coming_soon': False, 'date': '21 Apr, 2020'}"
1353300,"{'coming_soon': False, 'date': '21 Dec, 2020'}"
1690710,"{'coming_soon': False, 'date': '22 Jul, 2022'}"
1777760,"{'coming_soon': False, 'date': '26 Nov, 2021'}"
937310,"{'coming_soon': False, 'date': '6 May, 2021'}"
1878910,"{'coming_soon': False, 'date': '13 Jan, 2023'}"
1891700,"{'coming_soon': False, 'date': '17 Mar, 2022'}"
1964220,"{'coming_soon': False, 'date': '23 Aug, 2022'}"
1985170,"{'coming_soon': False, 'date': '19 Oct, 2023'}"
1990690,"{'coming_soon': False, 'date': '2 Feb, 2023'}"
2066550,"{'coming_soon': False, 'date': '26 Jul, 2022'}"
2067850,"{'coming_soon': False, 'date': '16 May, 2023'}"
1117350,"{'coming_soon': False, 'date': '24 Jan, 2023'}"
1582500,"{'coming_soon': False, 'date': '20 Oct, 2022'}"
2333480,"{'coming_soon': False, 'date': '9 Jan, 2024'}"
2349820,"{'coming_soon': False, 'date': '17 May, 2023'}"
2368470,"{'coming_soon': False, 'date': '16 Nov, 2023'}"
544610,"{'coming_soon': False, 'date': '31 Aug, 2017'}"
226620,"{'coming_soon': False, 'date': '18 Apr, 2023'}"
2391710,"{'coming_soon': False, 'date': '10 Nov, 2023'}"
1092040,"{'coming_soon': False, 'date': '15 Dec, 2020'}"
443910,"{'coming_soon': False, 'date': '16 Jun, 2016'}"
2484110,"{'coming_soon': False, 'date': '6 Dec, 2023'}"
2529130,"{'coming_soon': False, 'date': '31 Aug, 2023'}"
2594640,"{'coming_soon': False, 'date': '8 Dec, 2023'}"
2140510,"{'coming_soon': False, 'date': '25 Aug, 2023'}"
630360,"{'coming_soon': False, 'date': '19 Jul, 2017'}"
1188260,"{'coming_soon': False, 'date': '22 Dec, 2019'}"
1035510,"{'coming_soon': False, 'date': '8 Dec, 2020'}"
311250,"{'coming_soon': False, 'date': '17 Sep, 2014'}"
334670,
7860,"{'coming_soon': False, 'date': '20 May, 2009'}"
32330,"{'coming_soon': False, 'date': '8 Jul, 2009'}"
21120,"{'coming_soon': False, 'date': '21 May, 2010'}"
42670,"{'coming_soon': False, 'date': '30 Jun, 2010'}"
99810,
63950,"{'coming_soon': False, 'date': '19 Jul, 2011'}"
57900,"{'coming_soon': False, 'date': '9 Jun, 2011'}"
12130,"{'coming_soon': False, 'date': '6 Jan, 2011'}"
212630,"{'coming_soon': False, 'date': '26 Jun, 2012'}"
4720,"{'coming_soon': False, 'date': '29 Oct, 2012'}"
3270,"{'coming_soon': False, 'date': '30 Oct, 2007'}"
6920,"{'coming_soon': False, 'date': '29 Mar, 2007'}"
6980,"{'coming_soon': False, 'date': '29 Mar, 2007'}"
8080,"{'coming_soon': False, 'date': '13 Dec, 2007'}"
242960,"{'coming_soon': False, 'date': '24 Sep, 2013'}"
407810,"{'coming_soon': False, 'date': '3 Jun, 2016'}"
259170,"{'coming_soon': False, 'date': '29 Oct, 2013'}"
460810,"{'coming_soon': False, 'date': '25 May, 2017'}"
728740,"{'coming_soon': False, 'date': '13 May, 2019'}"
964800,"{'coming_soon': False, 'date': '23 Sep, 2022'}"
969990,"{'coming_soon': False, 'date': '23 Jun, 2020'}"
996580,"{'coming_soon': False, 'date': '3 Sep, 2019'}"
548570,"{'coming_soon': False, 'date': '13 May, 2019'}"
1920490,"{'coming_soon': False, 'date': '7 Mar, 2023'}"
2096610,"{'coming_soon': False, 'date': '17 Nov, 2022'}"
17710,"{'coming_soon': False, 'date': '26 Sep, 2011'}"
608110,"{'coming_soon': False, 'date': '3 May, 2018'}"
15380,"{'coming_soon': False, 'date': '10 Oct, 2008'}"
1630,"{'coming_soon': False, 'date': '6 Jul, 2006'}"
1640,"{'coming_soon': False, 'date': '6 Jul, 2006'}"
65600,"{'coming_soon': False, 'date': '22 Mar, 2011'}"
227260,"{'coming_soon': False, 'date': '29 Mar, 2013'}"
1281800,"{'coming_soon': False, 'date': '29 Apr, 2020'}"
1286530,"{'coming_soon': False, 'date': '30 Apr, 2020'}"
1287840,"{'coming_soon': False, 'date': '21 Oct, 2021'}"
34190,"{'coming_soon': False, 'date': '3 Mar, 2010'}"
3330,"{'coming_soon': False, 'date': '30 Aug, 2006'}"
280180,"{'coming_soon': False, 'date': '31 May, 2017'}"
439350,"{'coming_soon': False, 'date': '11 Nov, 2019'}"
513510,"{'coming_soon': False, 'date': 'Nov 4, 2016'}"
529110,"{'coming_soon': False, 'date': '21 Oct, 2016'}"
542310,"{'coming_soon': False, 'date': '13 Oct, 2016'}"
589870,"{'coming_soon': False, 'date': '12 May, 2017'}"
624270,"{'coming_soon': False, 'date': '27 Sep, 2017'}"
637850,"{'coming_soon': False, 'date': '27 May, 2017'}"
659190,"{'coming_soon': False, 'date': '10 Nov, 2017'}"
696140,"{'coming_soon': False, 'date': '2 Oct, 2017'}"
715220,"{'coming_soon': False, 'date': '18 Dec, 2019'}"
809870,"{'coming_soon': False, 'date': '4 Sep, 2018'}"
813630,"{'coming_soon': False, 'date': '5 Apr, 2019'}"
553660,"{'coming_soon': False, 'date': '6 Apr, 2018'}"
885640,"{'coming_soon': False, 'date': '13 Jul, 2018'}"
908050,"{'coming_soon': False, 'date': '16 Jul, 2019'}"
519860,"{'coming_soon': False, 'date': '10 Dec, 2018'}"
1028570,"{'coming_soon': False, 'date': '12 Mar, 2019'}"
1037130,"{'coming_soon': False, 'date': '25 Mar, 2021'}"
1086410,"{'coming_soon': False, 'date': '4 Dec, 2020'}"
1105620,"{'coming_soon': False, 'date': '26 Aug, 2019'}"
1122720,"{'coming_soon': False, 'date': '12 Dec, 2019'}"
382560,"{'coming_soon': False, 'date': '19 Sep, 2019'}"
1227800,"{'coming_soon': False, 'date': '21 Feb, 2020'}"
555000,"{'coming_soon': False, 'date': '10 Jul, 2019'}"
1377150,"{'coming_soon': False, 'date': '28 Aug, 2020'}"
584640,"{'coming_soon': False, 'date': '24 Sep, 2021'}"
2231450,"{'coming_soon': False, 'date': '26 Jan, 2023'}"
2291760,"{'coming_soon': False, 'date': '31 Mar, 2023'}"
19980,"{'coming_soon': False, 'date': '10 Dec, 2008'}"
356330,
650700,"{'coming_soon': False, 'date': '9 Jan, 2018'}"
740250,"{'coming_soon': False, 'date': '4 May, 2018'}"
1761390,"{'coming_soon': False, 'date': '26 May, 2022'}"
33900,"{'coming_soon': False, 'date': ''}"
245130,
241560,"{'coming_soon': False, 'date': '2 Dec, 2014'}"
12250,"{'coming_soon': False, 'date': ''}"
1526180,"{'coming_soon': False, 'date': '12 Nov, 2021'}"
672630,"{'coming_soon': False, 'date': '28 Jan, 2021'}"
691020,"{'coming_soon': False, 'date': '22 Feb, 2018'}"
1136380,"{'coming_soon': False, 'date': '22 Aug, 2022'}"
1179680,"{'coming_soon': False, 'date': '24 Jul, 2020'}"
816180,"{'coming_soon': False, 'date': '26 Apr, 2018'}"
1421230,"{'coming_soon': False, 'date': '8 Oct, 2020'}"
1449690,"{'coming_soon': False, 'date': '29 Oct, 2020'}"
320240,"{'coming_soon': False, 'date': '10 Aug, 2018'}"
914620,"{'coming_soon': False, 'date': '14 Aug, 2018'}"
1743830,"{'coming_soon': False, 'date': '20 Jul, 2023'}"
40400,"{'coming_soon': False, 'date': '21 Oct, 2009'}"
65560,"{'coming_soon': False, 'date': '25 Feb, 2011'}"
729460,"{'coming_soon': False, 'date': '2 Nov, 2017'}"
802200,"{'coming_soon': False, 'date': '22 Nov, 2019'}"
321400,"{'coming_soon': False, 'date': '8 Feb, 2019'}"
703940,"{'coming_soon': False, 'date': '8 Sep, 2017'}"
822240,"{'coming_soon': False, 'date': '11 Dec, 2018'}"
2237980,"{'coming_soon': False, 'date': '17 Dec, 2022'}"
298520,"{'coming_soon': False, 'date': '7 Aug, 2014'}"
1238000,"{'coming_soon': False, 'date': '11 Jun, 2020'}"
215550,"{'coming_soon': False, 'date': '31 Oct, 2016'}"
251270,"{'coming_soon': False, 'date': '25 Apr, 2016'}"
252610,"{'coming_soon': False, 'date': '21 Jul, 2016'}"
253250,"{'coming_soon': False, 'date': '25 Jul, 2018'}"
264260,"{'coming_soon': False, 'date': '11 Aug, 2014'}"
269770,"{'coming_soon': False, 'date': '29 Feb, 2024'}"
270410,"{'coming_soon': False, 'date': '15 Apr, 2016'}"
284410,"{'coming_soon': False, 'date': '26 Apr, 2016'}"
284990,"{'coming_soon': False, 'date': '30 Apr, 2015'}"
324060,
301990,"{'coming_soon': False, 'date': '3 Jul, 2014'}"
312780,"{'coming_soon': False, 'date': '23 Jul, 2015'}"
345080,"{'coming_soon': False, 'date': '28 May, 2015'}"
314320,"{'coming_soon': False, 'date': '8 Aug, 2014'}"
315460,"{'coming_soon': False, 'date': '10 Jul, 2018'}"
317100,"{'coming_soon': False, 'date': '25 Feb, 2015'}"
241260,"{'coming_soon': False, 'date': '29 Sep, 2014'}"
323490,"{'coming_soon': False, 'date': '12 Dec, 2014'}"
324160,"{'coming_soon': False, 'date': '23 Nov, 2015'}"
325120,"{'coming_soon': False, 'date': '4 Jun, 2015'}"
327070,"{'coming_soon': False, 'date': '7 Feb, 2023'}"
334280,"{'coming_soon': False, 'date': '5 Jul, 2016'}"
339230,"{'coming_soon': False, 'date': '18 Aug, 2015'}"
341000,"{'coming_soon': False, 'date': '13 Sep, 2016'}"
326480,"{'coming_soon': False, 'date': '24 Nov, 2014'}"
349320,"{'coming_soon': False, 'date': '30 Mar, 2015'}"
350310,"{'coming_soon': False, 'date': '28 May, 2015'}"
353560,"{'coming_soon': False, 'date': '5 Mar, 2015'}"
350500,"{'coming_soon': False, 'date': '6 Mar, 2015'}"
355000,"{'coming_soon': False, 'date': '7 Jun, 2016'}"
356050,"{'coming_soon': False, 'date': '11 Aug, 2015'}"
359610,"{'coming_soon': False, 'date': '12 Jan, 2016'}"
360170,"{'coming_soon': False, 'date': '8 Sep, 2016'}"
363130,"{'coming_soon': False, 'date': '25 Jun, 2015'}"
363680,"{'coming_soon': False, 'date': '21 Apr, 2016'}"
364050,"{'coming_soon': False, 'date': '9 Jun, 2017'}"
366040,"{'coming_soon': False, 'date': '27 Aug, 2015'}"
230230,"{'coming_soon': False, 'date': '30 Jun, 2014'}"
373600,"{'coming_soon': False, 'date': '23 Sep, 2015'}"
373620,"{'coming_soon': False, 'date': '23 Sep, 2015'}"
375710,"{'coming_soon': False, 'date': '1 Jul, 2015'}"
376480,"{'coming_soon': False, 'date': '2 Dec, 2016'}"
377530,"{'coming_soon': False, 'date': '28 Apr, 2016'}"
385980,"{'coming_soon': False, 'date': '23 Jul, 2015'}"
386140,"{'coming_soon': False, 'date': '2 Jun, 2017'}"
386160,"{'coming_soon': False, 'date': '17 Jul, 2015'}"
242840,"{'coming_soon': False, 'date': '3 Apr, 2015'}"
389810,"{'coming_soon': False, 'date': '4 Sep, 2015'}"
391170,"{'coming_soon': False, 'date': '14 Aug, 2015'}"
224460,"{'coming_soon': False, 'date': '15 Nov, 2013'}"
245370,"{'coming_soon': False, 'date': '25 Mar, 2015'}"
275670,"{'coming_soon': False, 'date': '13 Jun, 2014'}"
313010,"{'coming_soon': False, 'date': '5 Feb, 2015'}"
399600,"{'coming_soon': False, 'date': '4 May, 2016'}"
405590,"{'coming_soon': False, 'date': '11 Dec, 2015'}"
303210,"{'coming_soon': False, 'date': '1 Oct, 2015'}"
407310,"{'coming_soon': False, 'date': '21 Apr, 2017'}"
377670,"{'coming_soon': False, 'date': '5 Nov, 2015'}"
415200,"{'coming_soon': False, 'date': '9 Nov, 2016'}"
417290,"{'coming_soon': False, 'date': '13 Mar, 2018'}"
378120,
425340,"{'coming_soon': False, 'date': '22 Jan, 2016'}"
426790,"{'coming_soon': False, 'date': '16 Aug, 2016'}"
430960,
2820,
2870,
201310,
444140,
259680,
446390,
448440,
451630,
452440,
281640,
458730,
460120,
467930,
467960,
470590,
473460,
485040,
486690,
489460,
491060,
491420,
496810,
500440,
352550,
504390,
514310,
542240,
542930,
549100,
337340,"{'coming_soon': False, 'date': '14 Dec, 2017'}"
551730,
552410,
552620,
555260,
555280,
559610,
570770,
571530,
576770,
577000,
597120,
602930,
610310,
618610,
619340,
512020,
549240,
234270,
629540,
639450,
392110,
644200,
649580,
650760,
656200,
676090,
684300,
689070,
716340,
741260,
587620,
787480,
793460,
825630,
560130,
836640,
849740,
882790,
899970,
907270,
912370,
640820,
933300,
392160,
952860,
994730,
1000080,
1089630,
1108320,
1128920,
1182620,
1189490,
1189630,
1305300,
1235140,
1342330,
1348180,
1424720,
1559390,
1582890,
1585570,
1831250,
1846330,
1948980,
1973710,
2055050,
529340,
2157680,
2173800,
2192620,
2261240,
2311260,
2340650,
2474940,
2510890,
32450,
1659420,
427920,
663090,
678800,
2107670,
2353760,
246840,
248330,
303720,
310700,
251530,
294750,
298180,
457520,
531510,
546410,
658550,
779640,
844930,
865090,
893030,
1012630,
1038740,
1101450,
1148510,
1192640,
323470,
755540,
1955960,
1957780,
2225070,
352520,
420440,
551110,
626680,
655160,
912450,"{'coming_soon': False, 'date': '1 Oct, 2019'}"
1049410,
797410,
680360,
2720,
58200,
107800,
346320,
342310,
235380,
553260,
1092660,
16730,
91330,
288470,
301910,
372540,
376870,
378720,
774941,
407510,
410380,
418070,
466500,
633460,
1129580,
1180660,
1873030,
1556790,
2666200,
2668170,
37960,
61730,
11610,
36620,
260130,
266150,
283060,
284830,
324170,
245300,
331390,
333250,
340730,
365070,
365850,
367120,
386480,
397270,
416130,
423880,
429300,
429940,
431510,
439940,
447570,
463390,
472680,
487430,
496260,
531730,
547340,
562480,
568770,
599480,
601220,
626510,
629960,
630060,
809880,
702700,
871280,
897330,
1006400,
259340,
407120,
735280,
801880,
898720,
872790,
997070,"{'coming_soon': False, 'date': '4 Sep, 2020'}"
503940,
823550,
860860,
1244090,
1550730,
212390,
221080,
1048950,
373700,
29640,
1184370,
1222690,"{'coming_soon': False, 'date': '4 Jun, 2020'}"
416450,
444880,
520860,
568810,
822530,
829590,
1206610,
67000,
71260,
15540,
70420,
207350,
63710,
207400,
219950,"{'coming_soon': False, 'date': '17 Dec, 2012'}"
219680,
227080,
71250,
203650,
213610,
234160,
253840,
235800,
271920,
296070,
302710,
302790,
314180,
316600,
327140,
343740,
214570,
351990,
356400,
359350,
366640,
373770,
375900,
375950,
377870,
388980,
408250,
410570,
377860,
428550,
431840,
396030,
462910,
495350,
512080,
517710,
222500,
528580,
533970,
535850,
536560,
115800,
559010,
563840,
595500,
624460,
525700,
966330,
584400,"{'coming_soon': False, 'date': '29 Aug, 2017'}"
660520,
662470,
672640,
636450,
473770,
708680,
724870,
730550,
732430,
735460,
735810,
637100,
757380,
771310,
778260,
785260,
840010,
758330,
925950,
396900,
1086850,
1173510,
1194260,
1341050,
1353230,
609920,
1701800,
1730680,
1730700,
607380,
878760,
912170,
1188540,
1278480,
1811010,
1846380,"{'coming_soon': False, 'date': '1 Dec, 2022'}"
2808930,
527340,
1028860,
32460,
266450,
216150,
249870,
253370,
269310,
295670,
308000,
310370,
233610,
328000,
364750,
370870,
371140,
405820,
405830,
522240,
524250,
574090,
574980,
607050,
609490,"{'coming_soon': False, 'date': '3 Apr, 2018'}"
611660,
618740,
619780,"{'coming_soon': False, 'date': 'Apr 24, 2018'}"
620050,
625140,
629090,
648350,
674500,
674520,
686600,
709440,
730820,
730830,
732810,
763970,
765840,
765860,
765900,
765910,
777880,
798460,
637090,
862480,
334210,
790820,"{'coming_soon': False, 'date': '25 Sep, 2018'}"
938380,
1144110,
1703340,
6000,
32400,
42160,
206980,
207250,
207080,
205910,
222140,
224500,
234370,
242880,
244590,
250260,
25000,
234190,
268650,
302380,
342180,
362490,
427250,
430440,
541300,
629730,
579840,
803330,
848480,
850450,
1062830,
1148590,
1272320,
1522820,
17510,
45750,
212180,
270170,
488920,
494150,
667970,
691260,
914800,"{'coming_soon': False, 'date': '29 Jan, 2020'}"
979070,
1286320,
1345820,
1637320,
2186680,
1540210,
353130,
356640,
512470,"{'coming_soon': False, 'date': 'Aug 24, 2016'}"
705040,
795580,
876330,
640590,
1489830,
326350,
756800,
806860,
1157340,
2165620,
1021950,
1379630,
1952360,
520720,
325260,
2532550,
228280,
397430,
894020,
1068820,
1333200,
1336490,
1385380,
1811990,
1970580,
393430,
561600,
362870,
564710,
1671340,
326740,
639650,
660880,
1448530,
433800,
636040,
266070,
268750,
288570,
339120,
357290,
402180,
397940,
420790,
473560,
508290,"{'coming_soon': False, 'date': 'Jul 28, 2016'}"
575680,
581030,
629380,
696220,
1300,
6510,
33110,
21030,
37010,
50640,
43000,
22610,
22650,
22670,
57680,
22450,
102810,
106000,
96400,
211010,
216910,
206760,
203750,
268240,
274620,
268220,
258180,
289620,
294590,
321270,
335700,
339700,
378270,
385560,
391490,
408410,
410710,
423950,
427780,
429540,
99300,
211160,
447290,
464060,
465200,
274500,
488730,
494600,
555450,
598440,
587180,
606870,
669950,
436180,
301840,
878580,
931650,
951530,
1007400,
1087730,
1172650,
418270,
209630,
619700,
2013300,
2362740,
231670,
295270,
375960,
331600,
482730,
593600,
9310,
438640,
585550,
525780,
1064610,
1069740,
1215090,
1218900,
406970,
1630080,
2062120,
412470,
513570,
1366850,
17530,
92500,
459160,
704040,
946050,
1048370,
1349540,
1371630,
1839660,
33350,
234650,
271550,
281610,
365360,
328760,
435790,
698640,
777770,
780290,
975370,
1016920,"{'coming_soon': False, 'date': 'Sep 23, 2020'}"
1062090,
1073910,
1281630,
1161590,"{'coming_soon': False, 'date': '20 Jul, 2023'}"
7010,
2270,
9070,
4580,
18110,
46250,
9160,
238070,
224820,"{'coming_soon': False, 'date': '18 Feb, 2013'}"
235250,
2310,"{'coming_soon': False, 'date': '3 Aug, 2007'}"
239800,
2320,
251110,
259390,
260410,
266110,
292390,
298600,
312520,
341190,
393520,
403780,
405640,
410320,
314710,
397950,
562860,
285190,
598550,
630720,
668320,
679990,
640030,
757480,
774811,
792120,
838310,"{'coming_soon': False, 'date': '24 May, 2018'}"
884260,
980300,
1058020,
1062110,
1065260,
1085180,"{'coming_soon': False, 'date': '25 Sep, 2019'}"
1154810,
1203630,
1257360,
1149440,
1319460,"{'coming_soon': False, 'date': '15 Aug, 2022'}"
1334730,
1372320,
1378290,
1406780,
1486630,
1549690,
1590910,
1649740,
826630,
1726190,"{'coming_soon': False, 'date': 'Oct 21, 2021'}"
1766010,
1819230,
2005010,
2061230,
2262610,
1164940,
2443360,
2674810,
341890,
1168280,
905640,
586980,
575770,
973090,
1302800,
1948450,
2707940,
387840,
3410,
434520,
587000,
383980,
629820,
666570,
670160,
778700,
900270,
930620,
947600,
1020470,
1083880,
1238080,
1260820,
1284540,
1299320,
1299370,
1304550,
1443820,
1600780,
1860860,
1905950,
1237320,
2186320,
2328760,
233700,
293240,
808290,
728540,
1347430,
268130,
304730,
347000,
462680,
508390,
552590,
688130,
732050,
780210,
805850,
951440,
1055540,
1062960,
1122120,
1127400,
1785820,
394120,
403690,
412400,
449140,
454540,
585030,
1138190,
1296840,
1715460,
600130,
930780,
1054490,
1135810,
657470,
1094780,
1800790,
480650,
543870,
492720,
341720,
395200,
828900,
866800,
1580970,
1657630,
485670,
699240,
1504020,
745920,
786450,
1457320,
2208920,"{'coming_soon': False, 'date': '6 Dec, 2022'}"
26000,
15390,
2290,
206480,
415420,
555150,
598700,
703700,
312670,
836490,"{'coming_soon': False, 'date': '8 May, 2018'}"
885810,"{'coming_soon': False, 'date': '30 Oct, 2018'}"
923910,"{'coming_soon': False, 'date': '4 Jun, 2019'}"
356650,"{'coming_soon': False, 'date': '13 Aug, 2018'}"
370280,"{'coming_soon': False, 'date': '14 Mar, 2016'}"
1002560,"{'coming_soon': False, 'date': '27 Feb, 2019'}"
1038810,"{'coming_soon': False, 'date': '13 Jun, 2019'}"
1093910,"{'coming_soon': False, 'date': '25 Sep, 2019'}"
1140610,"{'coming_soon': False, 'date': '12 Sep, 2019'}"
1144910,"{'coming_soon': False, 'date': '10 Mar, 2021'}"
1244950,"{'coming_soon': False, 'date': '20 Aug, 2020'}"
1283220,"{'coming_soon': False, 'date': '11 Jul, 2020'}"
1365010,"{'coming_soon': False, 'date': '14 Aug, 2020'}"
1367080,"{'coming_soon': False, 'date': '30 May, 2023'}"
1377360,"{'coming_soon': False, 'date': '2 Oct, 2020'}"
1393350,"{'coming_soon': False, 'date': '20 Nov, 2020'}"
1437400,"{'coming_soon': False, 'date': '6 Nov, 2023'}"
1528130,"{'coming_soon': False, 'date': '12 Feb, 2021'}"
257350,"{'coming_soon': False, 'date': '15 Nov, 2013'}"
1899060,"{'coming_soon': False, 'date': '19 May, 2023'}"
2594920,"{'coming_soon': False, 'date': '24 Jan, 2024'}"
1812370,"{'coming_soon': False, 'date': '7 Nov, 2023'}"
203210,"{'coming_soon': False, 'date': '3 Feb, 2012'}"
237590,
243450,"{'coming_soon': False, 'date': '18 Sep, 2013'}"
255870,"{'coming_soon': False, 'date': '11 Nov, 2013'}"
249330,"{'coming_soon': False, 'date': '4 Oct, 2013'}"
278930,"{'coming_soon': False, 'date': '6 Mar, 2014'}"
325100,"{'coming_soon': False, 'date': '3 Nov, 2014'}"
453720,"{'coming_soon': False, 'date': '29 Aug, 2016'}"
467950,"{'coming_soon': False, 'date': '20 May, 2016'}"
528200,"{'coming_soon': False, 'date': '30 Sep, 2016'}"
533950,"{'coming_soon': False, 'date': '11 Nov, 2016'}"
556870,"{'coming_soon': False, 'date': '29 Nov, 2016'}"
563810,"{'coming_soon': False, 'date': '13 Feb, 2017'}"
567580,"{'coming_soon': False, 'date': '28 Dec, 2016'}"
656600,"{'coming_soon': False, 'date': '14 Jul, 2017'}"
733800,"{'coming_soon': False, 'date': '8 Dec, 2017'}"
38740,"{'coming_soon': False, 'date': '11 Aug, 2011'}"
248170,"{'coming_soon': False, 'date': '5 Dec, 2013'}"
338530,"{'coming_soon': False, 'date': '17 Nov, 2015'}"
438720,"{'coming_soon': False, 'date': '3 Aug, 2016'}"
601810,"{'coming_soon': False, 'date': '10 Apr, 2017'}"
684200,"{'coming_soon': False, 'date': '12 Jul, 2018'}"
752580,"{'coming_soon': False, 'date': '16 Aug, 2021'}"
7760,"{'coming_soon': False, 'date': '4 Sep, 2008'}"
48240,"{'coming_soon': False, 'date': '17 Nov, 2011'}"
213850,"{'coming_soon': False, 'date': '26 Jun, 2013'}"
269950,"{'coming_soon': False, 'date': '30 Mar, 2017'}"
271260,"{'coming_soon': False, 'date': '20 Sep, 2018'}"
326130,"{'coming_soon': False, 'date': '24 Oct, 2014'}"
336940,"{'coming_soon': False, 'date': '27 Apr, 2018'}"
398170,"{'coming_soon': False, 'date': 'Jan 18, 2016'}"
412450,"{'coming_soon': False, 'date': '19 Apr, 2016'}"
419480,"{'coming_soon': False, 'date': '23 May, 2017'}"
445220,"{'coming_soon': False, 'date': '9 Mar, 2020'}"
465490,"{'coming_soon': False, 'date': '22 Sep, 2016'}"
501080,"{'coming_soon': False, 'date': '7 Feb, 2018'}"
541210,"{'coming_soon': False, 'date': '5 Jun, 2017'}"
588030,"{'coming_soon': False, 'date': '25 Jan, 2019'}"
588210,"{'coming_soon': False, 'date': '21 Oct, 2019'}"
